group,ring_min,ring_max,ring_label,intensity,use_construction,drop_unknown_controls,fe_spec,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
all,0,150,0-150m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.2801740904958111,0.3028286335021462,0.35641483607011915,69391938,1043330,68348608,13975,768741,145,145,0.01817907461680852
non_hs,0,150,0-150m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.24596068685628328,0.30546089442939145,0.4221239865427744,63385908,950553,62435355,13031,716845,135,135,0.018178267268377405
all,0,300,0-300m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.2788596021485584,0.18535090938956575,0.1346440311492048,72553824,4205216,68348608,55976,768741,145,145,0.07281516141327184
non_hs,0,300,0-300m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.27163371674414377,0.1891858376587895,0.15338850947355026,66266252,3830897,62435355,52201,716845,135,135,0.07282048420509316
all,300,600,300-600m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.33333579211353537,0.13819708886328458,0.017122836605851153,81047077,12698469,68348608,167973,768741,145,145,0.21850402151049572
non_hs,300,600,300-600m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.32249088572998175,0.14344394224625592,0.026196600343654015,74005145,11569790,62435355,156633,716845,135,135,0.21850330266654577
all,0,600,0-600m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.31857167394030234,0.1394680396674436,0.023822384972216008,85252293,16903685,68348608,223949,768741,145,145,0.2913191829237676
non_hs,0,600,0-600m,FALSE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.3104815495825228,0.1447336211302884,0.033740726845448044,77836042,15400687,62435355,208834,716845,135,135,0.2913237868716389
all,0,150,0-150m,TRUE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.4925659164555855,0.18813402114652314,0.009785611960479133,58478171,1043328,57434843,13975,621557,145,145,0.022483859082915968
non_hs,0,150,0-150m,TRUE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.3837215538455296,0.1903042683223861,0.045761248658305456,53601838,950551,52651287,13031,583727,135,135,0.0223237917725238
all,0,300,0-300m,TRUE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.3354026892969338,0.11325306574991874,0.003581681566607257,61640008,4205165,57434843,55976,621557,145,145,0.09005770991236524
non_hs,0,300,0-300m,TRUE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.2949494518312037,0.12036895810267302,0.015560051408872453,56482133,3830846,52651287,52201,583727,135,135,0.08942707806902885
all,300,600,300-600m,TRUE,FALSE,TRUE,pixel_id + year,-4,treated_post,0.31854807559085413,0.11609208139624168,0.006843583073836416,70132915,12698072,57434843,167973,621557,145,145,0.2702455285677742
