group,ring_min,ring_max,ring_label,intensity,use_construction,fe_spec,cluster_var,treat_scope,contam_scope,contam_timing,contam_buffer,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
all,0,150,0-150m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.2801740904958095,0.30282863350214223,0.3564148360701157,69391938,1043330,68348608,13975,768741,145,145,0.01817907461680852
non_hs,0,150,0-150m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.24596068685621644,0.3054608944293204,0.42212398654279226,63385908,950553,62435355,13031,716845,135,135,0.018178267268377405
all,0,300,0-300m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.27885960214867545,0.18535090938964313,0.13464403114920395,72553824,4205216,68348608,55976,768741,145,145,0.07281516141327184
non_hs,0,300,0-300m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.2716337167442022,0.18918583765880542,0.1533885094734969,66266252,3830897,62435355,52201,716845,135,135,0.07282048420509316
all,300,600,300-600m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3333357921135195,0.13819708886327822,0.01712283660585133,81047077,12698469,68348608,167973,768741,145,145,0.21850402151049572
non_hs,300,600,300-600m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3224908857299455,0.14344394224624257,0.026196600343656867,74005145,11569790,62435355,156633,716845,135,135,0.21850330266654577
all,0,600,0-600m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3185716739406257,0.13946803966759705,0.023822384972227762,85252293,16903685,68348608,223949,768741,145,145,0.2913191829237676
non_hs,0,600,0-600m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3104815495823856,0.14473362113020596,0.03374072684542573,77836042,15400687,62435355,208834,716845,135,135,0.2913237868716389
all,0,150,0-150m,TRUE,FALSE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.49256591645514763,0.18813402114637565,0.009785611960486643,58478171,1043328,57434843,13975,621557,145,145,0.022483859082915968
non_hs,0,150,0-150m,TRUE,FALSE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.3837215538454815,0.19030426832236477,0.04576124865830837,53601838,950551,52651287,13031,583727,135,135,0.0223237917725238
