group,ring_min,ring_max,ring_label,intensity,use_construction,fe_spec,cluster_var,treat_scope,contam_scope,contam_timing,contam_buffer,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,dynamic,0,-4,treated_post,0.3473929111566536,0.0960764415051075,4.141856985458199e-4,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,dynamic,0,-4,construction_period,0.265121603639874,0.09626797515131484,0.006652351732406566,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,none,all,all_oc,dynamic,0,-4,treated_post,0.3473929111566536,0.001351378134409346,0,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,none,all,all_oc,dynamic,0,-4,construction_period,0.265121603639874,0.0017173561867027912,0,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,static,0,-4,treated_post,0.33732305267052565,0.09556871069330374,5.6018058661781e-4,76268088,19763412,56504676,221408,609366,144,144,0.36334157140372125
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,static,0,-4,construction_period,0.25169820028841655,0.09423304786700208,0.008438926065904708,76268088,19763412,56504676,221408,609366,144,144,0.36334157140372125
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,none,all,all_oc,static,0,-4,treated_post,0.33732305267052565,0.0013523918200877834,0,76268088,19763412,56504676,221408,609366,144,144,0.36334157140372125
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,none,all,all_oc,static,0,-4,construction_period,0.25169820028841655,0.0017175190588871276,0,76268088,19763412,56504676,221408,609366,144,144,0.36334157140372125
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,dynamic,3,-4,treated_post,0.3405679119932835,0.09569782197584542,5.060855141584477e-4,76309426,19764546,56544880,221408,611472,144,144,0.36209016929638643
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,dynamic,3,-4,construction_period,0.252942131392759,0.09420735477589096,0.008111504949005827,76309426,19764546,56544880,221408,611472,144,144,0.36209016929638643
all,0,600,0-600m,TRUE,TRUE,pixel_id + year^export_id,export_id,all,all_oc,dynamic,0,-4,treated_post,0.2720214781233193,0.09807459922464459,0.006283587876432983,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year^export_id,export_id,all,all_oc,dynamic,0,-4,construction_period,0.22868831468430678,0.09441216688370006,0.016677077869936316,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year^month,export_id,all,all_oc,dynamic,0,-4,treated_post,0.3463918050597734,0.095848775706218,4.1691180763274704e-4,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year^month,export_id,all,all_oc,dynamic,0,-4,construction_period,0.2658330547770395,0.09626288811959613,0.0065084565333297225,76378681,19765628,56613053,221408,612105,144,144,0.36171571870839153
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,dynamic,0,-4,treated_post,0.29378873895093366,0.09360306831290631,0.0020591703762969354,77476977,19912200,57564777,223949,625312,145,145,0.3581396167033417
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,dynamic,0,-4,construction_period,0.25023065943582085,0.09545394912811707,0.009695318632744403,77476977,19912200,57564777,223949,625312,145,145,0.3581396167033417
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,hs_only,dynamic,0,-4,treated_post,0.2684945221985551,0.08725282414594683,0.0025018744979534834,85965064,19912327,66052737,223949,729023,145,145,0.30719058246447645
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,hs_only,dynamic,0,-4,construction_period,0.2042313185468528,0.08753610301479386,0.0210267354458755,85965064,19912327,66052737,223949,729023,145,145,0.30719058246447645
