term,Estimate,Std. Error,t value,Pr(>|t|),rel_year,estimate,conf.low,conf.high
relative_year::-8:treat_assignment,-0.03298608759863853,0.13509881895122247,-0.24416266444600218,0.8074548077639789,-8,-0.03298608759863853,-0.2977797727430346,0.23180759754575753
relative_year::-7:treat_assignment,-0.24418216506573678,0.145352727315431,-1.6799283341676507,0.09515464030864355,-7,-0.24418216506573678,-0.5290735106039816,0.04070918047250796
relative_year::-6:treat_assignment,-0.09507846633909768,0.13657890398414005,-0.6961431345952116,0.48746911614307153,-6,-0.09507846633909768,-0.36277311814801216,0.17261618546981683
relative_year::-5:treat_assignment,-0.08224950977787467,0.09600079628327558,-0.8567586203678548,0.39301177114674946,-5,-0.08224950977787467,-0.2704110704930948,0.10591205093734547
NA,NA,NA,NA,NA,-4,0,0,0
relative_year::0:treat_assignment,0.2717154738897281,0.12393409830776304,2.1924190162337935,0.029966262536344455,0,0.2717154738897281,0.02880464120651255,0.5146263065729437
relative_year::1:treat_assignment,0.35326979796494445,0.14557513093772378,2.426718050599393,0.01648061541329954,1,0.35326979796494445,0.06794254132700583,0.6385970546028831
relative_year::2:treat_assignment,0.3455675312069054,0.15230046560375327,2.268985389092529,0.02476585070723803,2,0.3455675312069054,0.04705861862354904,0.6440764437902617
relative_year::3:treat_assignment,0.321410772343379,0.1453421652316336,2.2114076244229794,0.02859509439267762,3,0.321410772343379,0.036540128489377155,0.6062814161973809
relative_year::4:treat_assignment,0.3072893169541078,0.15021041607086394,2.0457257558566355,0.04261620337383774,4,0.3072893169541078,0.012876901455214529,0.6017017324530012
relative_year::5:treat_assignment,0.39426762182867775,0.1463837672219182,2.6933834899259486,0.007918964731813765,5,0.39426762182867775,0.10735543807371806,0.6811798055836374
relative_year::6:treat_assignment,0.35373977692159425,0.14609124878827182,2.421361853332261,0.016715504603817745,6,0.35373977692159425,0.06740092929658148,0.640078624546607
relative_year::7:treat_assignment,0.37150609334587403,0.14938339389320945,2.4869303318376517,0.014034878955586045,7,0.37150609334587403,0.07871464131518352,0.6642975453765645
relative_year::8:treat_assignment,0.3924902600602339,0.152771795424259,2.56912775666646,0.011219695133789502,8,0.3924902600602339,0.09305754102868624,0.6919229790917816
