group,ring_min,ring_max,ring_label,intensity,use_construction,fe_spec,cluster_var,treat_scope,contam_scope,contam_timing,contam_buffer,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
hs,0,150,0-150m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.40313976398064516,0.7939714141507667,0.6185556063714216,23526409,387286,23139123,1732,91033,17,17,0.01902606747003834
hs,0,300,0-300m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3695694168067733,0.5700190521642283,0.5259575914546586,24692455,1553332,23139123,6903,91033,17,17,0.07582964419496227
hs,300,600,300-600m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.2968361620286032,0.3012031451559642,0.33904707773006215,27798750,4659627,23139123,20203,91033,17,17,0.22193050871661923
hs,0,600,0-600m,FALSE,FALSE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.31031722375036946,0.3404659929035661,0.3755873413872429,29352082,6212959,23139123,27106,91033,17,17,0.29776015291158153
hs,0,150,0-150m,TRUE,FALSE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.4621563198519472,0.49203685752781484,0.36155570501326195,19259276,387286,18871990,1732,68904,17,17,0.025136421688145828
hs,0,300,0-300m,TRUE,FALSE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.37286198894202566,0.3557971908667807,0.3102293604419526,20425322,1553332,18871990,6903,68904,17,17,0.1001828631138976
hs,300,600,300-600m,TRUE,FALSE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.29873146942142886,0.18604104122012635,0.12788685305507763,23531610,4659620,18871990,20203,68904,17,17,0.29320503889469407
hs,0,600,0-600m,TRUE,FALSE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.3176747315766141,0.2149697256877455,0.15888487613906982,25084942,6212952,18871990,27106,68904,17,17,0.39338790200859164
hs,0,150,0-150m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.39260310917963576,0.7910973930306485,0.6264477451304802,23556714,417591,23139123,1732,91033,17,17,0.01902606747003834
hs,0,150,0-150m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,construction_period,0.03684122437147111,0.46715049077942467,0.9381189318224843,23556714,417591,23139123,1732,91033,17,17,0.01902606747003834
hs,0,300,0-300m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3688646909422589,0.5683966566155707,0.5255728218205834,24815317,1676194,23139123,6903,91033,17,17,0.07582964419496227
hs,0,300,0-300m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,construction_period,0.16146160002262516,0.2791546195318472,0.571049939718197,24815317,1676194,23139123,6903,91033,17,17,0.07582964419496227
hs,300,600,300-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3054519122179486,0.30004019825647976,0.3238083707029852,28169624,5030501,23139123,20203,91033,17,17,0.22193050871661923
hs,300,600,300-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,construction_period,0.09975579313390245,0.20233681732059955,0.6286973012471975,28169624,5030501,23139123,20203,91033,17,17,0.22193050871661923
hs,0,600,0-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.31772130299322804,0.3388391213448039,0.36235062642374183,29845818,6706695,23139123,27106,91033,17,17,0.29776015291158153
hs,0,600,0-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,construction_period,0.11986495475735888,0.190812892284935,0.5387497015277796,29845818,6706695,23139123,27106,91033,17,17,0.29776015291158153
hs,0,150,0-150m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.42753770042494604,0.5012181559827739,0.40624956583067784,19289581,417591,18871990,1732,68904,17,17,0.025136421688145828
hs,0,150,0-150m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.08254215967971777,0.5105433679011556,0.8735856860041977,19289581,417591,18871990,1732,68904,17,17,0.025136421688145828
hs,0,300,0-300m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.35843113945759963,0.35778275582598545,0.3313454490274851,20548184,1676194,18871990,6903,68904,17,17,0.1001828631138976
hs,0,300,0-300m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.18098677363938964,0.3260491414602317,0.5865102330596906,20548184,1676194,18871990,6903,68904,17,17,0.1001828631138976
hs,300,600,300-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.2996651942702833,0.18347543350951645,0.12193261381614842,23902484,5030494,18871990,20203,68904,17,17,0.29320503889469407
hs,300,600,300-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.11582595077057305,0.2096095792891559,0.5881886766669386,23902484,5030494,18871990,20203,68904,17,17,0.29320503889469407
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.31370039781481246,0.21298608596871998,0.16018580862978815,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.13495255566448874,0.2182519577378653,0.5450578441709985,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
