export_id,m_post,m_pre,n_obs_post,n_obs_pre,diff
411,-0.8029285327588604,-1.8722208132509592,109009,8372,1.0692922804920988
412,-0.9388355041527034,-1.7131304899870445,97830,19852,0.7742949858343411
648,0.12285639816566701,1.016317739092009,156743,53965,-0.8934613409263421
664,0.2119724876378678,0.46408122108839167,125296,30521,-0.25210873345052387
2039,0.526511428582883,-0.27453340358513334,80028,44741,0.8010448321680164
2793,0.9722859337368666,0.7612305174468573,28859,65823,0.21105541629000923
2886,1.9585340553713455,1.5035806177541222,157591,91646,0.4549534376172233
2899,-1.983822376844824,-0.14580701226276235,145468,105122,-1.8380153645820616
2949,-1.1067281600463879,-3.4263910854481763,113554,11259,2.319662925401788
2950,0.9581804683496361,0.6698363937143075,99591,12479,0.28834407463532863
2988,0.5662768449146552,0.40824105483125467,61658,39911,0.15803579008340057
2998,0.13589084791290926,-0.02868716224317994,79908,50827,0.1645780101560892
3009,1.1418595933845828,0.5409422744613475,83693,46565,0.6009173189232353
3012,1.8437719083056414,0.9954298958818818,117408,37110,0.8483420124237596
3021,1.52239426546083,0.694986187511869,83829,50485,0.827408077948961
3051,0.49406033511653114,0.6542609491484851,209628,59127,-0.16020061403195396
3052,0.6199622406364182,0.6066898320462216,205856,41272,0.013272408590196627
