group,ring_min,ring_max,ring_label,intensity,use_construction,fe_spec,cluster_var,treat_scope,contam_scope,contam_timing,contam_buffer,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all_oc,dynamic,0,-4,treated_post,0.3510434968029736,0.2611073647127881,0.19755782031363628,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all_oc,dynamic,0,-4,construction_period,0.16698076566361278,0.23723112348681846,0.49162907531178723,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all_oc,static,0,-4,treated_post,0.3507897841005826,0.26109295724202924,0.197841844408105,24686841,6706674,17980167,27106,64611,17,17,0.4195260868892294
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all_oc,static,0,-4,construction_period,0.1667226578961066,0.2372370204923112,0.49229943339702587,24686841,6706674,17980167,27106,64611,17,17,0.4195260868892294
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all_oc,dynamic,3,-4,treated_post,0.35072507059411134,0.26109115532165966,0.19791739873304612,24687493,6706674,17980819,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all_oc,dynamic,3,-4,construction_period,0.16664762597209073,0.23724120478545416,0.49249883872647715,24687493,6706674,17980819,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all,dynamic,0,-4,treated_post,0.2838562578869846,0.22645762341646963,0.22804479270703978,25582305,6706688,18875617,27106,69002,17,17,0.3928291933567143
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,all,dynamic,0,-4,construction_period,0.12461168551652144,0.21609137063286038,0.5721921811529945,25582305,6706688,18875617,27106,69002,17,17,0.3928291933567143
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,hs_only,dynamic,0,-4,treated_post,0.3343510883606146,0.23135250719189918,0.16770219372606893,28147304,6706695,21440609,27106,80493,17,17,0.33674977948393026
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,hs_only,hs_only,dynamic,0,-4,construction_period,0.14921248152420502,0.22106664257400804,0.509334314320981,28147304,6706695,21440609,27106,80493,17,17,0.33674977948393026
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,dynamic,0,-4,treated_post,0.39131177270344536,0.25100873533755913,0.13856516374857833,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all_oc,dynamic,0,-4,construction_period,0.1816800369296515,0.23881024643113943,0.45785951641198064,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^export_id,export_id,hs_only,all_oc,dynamic,0,-4,treated_post,0.23848920956255143,0.25550403902166546,0.3644831669241393,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^export_id,export_id,hs_only,all_oc,dynamic,0,-4,construction_period,0.03585078654725238,0.1821537037718325,0.8464497565894458,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^month,export_id,hs_only,all_oc,dynamic,0,-4,treated_post,0.35153071638092487,0.2604863137532532,0.1959577423534069,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^month,export_id,hs_only,all_oc,dynamic,0,-4,construction_period,0.16819520564611767,0.23583934422921982,0.4860088909018795,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^sensor,export_id,hs_only,all_oc,dynamic,0,-4,treated_post,0.3510434968029736,0.2611073647127881,0.19755782031363628,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^sensor,export_id,hs_only,all_oc,dynamic,0,-4,construction_period,0.16698076566361278,0.23723112348681846,0.49162907531178723,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^campus_id,export_id,hs_only,all_oc,dynamic,0,-4,treated_post,0.23789281336783305,0.25532026792692647,0.36531671463011595,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year^campus_id,export_id,hs_only,all_oc,dynamic,0,-4,construction_period,0.02715680251293051,0.17278877229546577,0.8770789660251156,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,campus_id,hs_only,all_oc,dynamic,0,-4,treated_post,0.3510434968029736,0.32701245051870814,0.3012079989258695,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,campus_id,hs_only,all_oc,dynamic,0,-4,construction_period,0.16698076566361278,0.30415575852026294,0.5916561521531325,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,none,hs_only,all_oc,dynamic,0,-4,treated_post,0.3510434968029736,0.0020148156404149313,0,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,none,hs_only,all_oc,dynamic,0,-4,construction_period,0.16698076566361278,0.005468459396385127,8.95632983995157e-205,24689871,6706674,17983197,27106,64702,17,17,0.4189360452536243
