ring_min,ring_max,ring_label,intensity,use_construction,cluster_var,treat_scope,contam_scope,ref_year,fe_spec,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
300,600,300-600m,FALSE,FALSE,export_id,NA,NA,-4,pixel_id + year,treated_post,0.2968361620289042,0.3012031451562862,0.3390470777300878,27798750,4659627,23139123,20203,91033,17,17,0.22193050871661923
0,300,0-300m,FALSE,FALSE,export_id,NA,NA,-4,pixel_id + year,treated_post,0.3695694168067707,0.5700190521642111,0.5259575914546493,24692455,1553332,23139123,6903,91033,17,17,0.07582964419496227
0,600,0-600m,FALSE,FALSE,export_id,NA,NA,-4,pixel_id + year,treated_post,0.3103172237502471,0.34046599290345436,0.3755873413872737,29352082,6212959,23139123,27106,91033,17,17,0.29776015291158153
300,600,300-600m,TRUE,FALSE,export_id,hs_only,all,-4,pixel_id + year,treated_post,0.28086081898068815,0.1989407594336247,0.1771664316362781,23531610,4659620,18871990,20203,68904,17,17,0.29320503889469407
0,300,0-300m,TRUE,FALSE,export_id,hs_only,all,-4,pixel_id + year,treated_post,0.33500646672118534,0.3816816202955353,0.3930894384941628,20425322,1553332,18871990,6903,68904,17,17,0.1001828631138976
0,600,0-600m,TRUE,FALSE,export_id,hs_only,all,-4,pixel_id + year,treated_post,0.2908440921818145,0.22924896089770264,0.22270221338350146,25084942,6212952,18871990,27106,68904,17,17,0.39338790200859164
300,600,300-600m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year,treated_post,0.30545191221752227,0.30004019825617523,0.3238083707031636,28169624,5030501,23139123,20203,91033,17,17,0.22193050871661923
300,600,300-600m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year,construction_period,0.0997557931336375,0.2023368173204269,0.6286973012478116,28169624,5030501,23139123,20203,91033,17,17,0.22193050871661923
0,300,0-300m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year,treated_post,0.3688646909423836,0.5683966566156741,0.5255728218205193,24815317,1676194,23139123,6903,91033,17,17,0.07582964419496227
0,300,0-300m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year,construction_period,0.16146160002295593,0.27915461953231413,0.5710499397180535,24815317,1676194,23139123,6903,91033,17,17,0.07582964419496227
