rel_year,mean_share_Barren,mean_share_Developed,mean_share_Vegetation,n_pixels_Barren,n_pixels_Developed,n_pixels_Vegetation
-6,0.0012319278460087995,0.5971845766566722,0.23130964675778648,1591,1591,1591
-5,0.001127519641259446,0.6001867882464229,0.24458385295709512,1985,1985,1985
-4,0.0011113418845859263,0.6018489801614578,0.24627445977675705,2089,2089,2089
-3,0.0018776618384009943,0.6236007015532463,0.24541388971720235,2414,2414,2414
-2,0.0018442041317265903,0.6257791505232523,0.24916935711164617,2531,2531,2531
-1,0.004320175083135314,0.6529529725107389,0.23689386416913646,3030,3030,3030
0,0.005810429891506044,0.663809346945645,0.22742712033581622,3061,3061,3061
1,0.005840900419797452,0.6675322645909252,0.22380352795164046,3061,3061,3061
2,0.0034853571049472537,0.7103811561790997,0.1843665013207208,2749,2749,2749
3,0.0036099943882192845,0.6958216432718425,0.1936251850148011,2572,2572,2572
4,0.0033960506772371638,0.7225119439554327,0.18392728683700915,2454,2454,2454
5,0.00436544669145334,0.7525566539365252,0.20068686831940105,1961,1961,1961
